symboling,normalized-losses,fuel-type,aspiration,num-of-doors,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,make audi,make bmw,make chevrolet,make dodge,make honda,make isuzu,make jaguar,make mazda,make mercedes-benz,make mercury,make mitsubishi,make nissan,make peugot,make plymouth,make porsche,make renault,make saab,make subaru,make toyota,make volkswagen,make volvo,Body-Style hardtop,Body-Style hatchback,Body-Style sedan,Body-Style wagon,drive-wheels fwd,drive-wheels rwd,engine-type l,engine-type ohc,engine-type ohcf,engine-type ohcv,engine-type rotor,fuel-system 2bbl,fuel-system 4bbl,fuel-system idi,fuel-system mfi,fuel-system mpfi,fuel-system spdi,fuel-system spfi,horsepower_curbWeight
0,85.0,0,0,1,0,96.5,175.4,65.2,54.1,2304,4,110,3.15,3.58,9.0,86,5800,27,33,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.03732638888888889
0,85.0,0,0,1,0,96.5,175.4,62.5,54.1,2372,4,110,3.15,3.58,9.0,86,5800,27,33,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.03625632377740304
0,85.0,0,0,1,0,96.5,175.4,65.2,54.1,2465,4,110,3.15,3.58,9.0,101,5800,24,28,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.040973630831643
1,107.0,0,0,0,0,96.5,169.1,66.0,51.0,2293,4,110,3.15,3.58,9.1,100,5500,25,31,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.043610989969472304
0,115.0,0,0,1,0,94.3,170.7,61.8,53.5,2337,4,111,3.31,3.23,8.5,78,4800,24,29,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,0.03337612323491656
2,115.0,0,0,0,0,96.0,172.6,65.2,51.4,2734,4,119,3.43,3.23,9.2,90,5000,24,29,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0.03291880029261156
0,145.0,0,0,1,0,113.0,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,176,4750,15,19,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04328578455484506
0,115.0,0,0,1,0,113.0,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,176,4750,15,19,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04328578455484506
0,115.0,0,0,0,0,102.0,191.7,70.6,47.8,3950,12,326,3.54,2.76,11.5,262,5000,13,17,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0.06632911392405064
1,104.0,0,0,0,0,93.1,159.1,64.2,54.1,1890,4,91,3.03,3.15,9.0,68,5000,30,31,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03597883597883598
1,104.0,0,0,0,0,93.1,159.1,64.2,54.1,1900,4,91,3.03,3.15,9.0,68,5000,31,38,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.035789473684210524
1,104.0,0,0,0,0,93.1,159.1,64.2,54.1,1905,4,91,3.03,3.15,9.0,68,5000,31,38,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03569553805774278
1,113.0,0,0,1,0,93.1,166.8,64.2,54.1,1945,4,91,3.03,3.15,9.0,68,5000,31,38,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03496143958868895
1,113.0,0,0,1,0,93.1,166.8,64.2,54.1,1950,4,91,3.08,3.15,9.0,68,5000,31,38,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03487179487179487
3,150.0,0,0,0,0,95.3,169.0,65.7,49.6,2380,2,70,3.31,3.29,9.4,101,6000,17,23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0.04243697478991597
3,150.0,0,0,0,0,95.3,169.0,65.7,49.6,2380,2,70,3.31,3.29,9.4,101,6000,17,23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0.04243697478991597
3,150.0,0,0,0,0,95.3,169.0,65.7,49.6,2385,2,70,3.31,3.29,9.4,101,6000,17,23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0.042348008385744235
3,150.0,0,0,0,0,95.3,169.0,65.7,49.6,2500,2,80,3.31,3.29,9.4,135,6000,16,23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0.054
1,129.0,0,0,0,0,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,84,4800,26,32,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03522012578616352
0,115.0,0,0,1,0,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,84,4800,26,32,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.034854771784232366
1,129.0,0,0,0,0,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,84,4800,26,32,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03522012578616352
0,115.0,0,0,1,0,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,84,4800,26,32,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.034854771784232366
0,115.0,1,0,1,0,98.8,177.8,66.5,55.5,2443,4,122,3.39,3.39,22.7,64,4650,36,42,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,0.026197298403602128
0,115.0,0,0,1,0,98.8,177.8,66.5,55.5,2425,4,122,3.39,3.39,8.6,84,4800,26,32,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03463917525773196
0,118.0,0,0,1,0,104.9,175.0,66.1,54.4,2670,4,140,3.76,3.16,8.0,120,5000,19,27,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.0449438202247191
0,115.0,1,0,1,0,104.9,175.0,66.1,54.4,2700,4,134,3.43,3.64,22.0,72,4200,31,39,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0.02666666666666667
-1,93.0,1,1,1,0,110.0,190.9,70.3,56.5,3515,5,183,3.58,3.64,21.5,123,4350,22,25,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0.03499288762446657
-1,93.0,1,1,1,0,110.0,190.9,70.3,58.7,3750,5,183,3.58,3.64,21.5,123,4350,22,25,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0.0328
0,93.0,1,1,0,0,106.7,187.5,70.3,54.9,3495,5,183,3.58,3.64,21.5,123,4350,22,25,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0.0351931330472103
-1,93.0,1,1,1,0,115.6,202.6,71.7,56.3,3770,5,183,3.58,3.64,21.5,123,4350,22,25,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0.03262599469496021
-1,115.0,0,0,1,0,115.6,202.6,71.7,56.5,3740,8,234,3.46,3.1,8.3,155,4750,16,18,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0.04144385026737968
3,142.0,0,0,0,0,96.6,180.3,70.5,50.8,3685,8,234,3.46,3.1,8.3,155,4750,16,18,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0.04206241519674356
0,115.0,0,0,1,0,120.9,208.1,71.7,56.7,3900,8,308,3.8,3.35,8.0,184,4500,14,16,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0.04717948717948718
1,115.0,0,0,0,0,112.0,199.2,72.0,55.4,3715,8,304,3.8,3.35,8.0,184,4500,14,16,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0.04952893674293405
1,115.0,0,1,0,0,102.7,178.4,68.0,54.8,2910,4,140,3.78,3.12,8.0,175,5000,19,24,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.06013745704467354
2,161.0,0,0,0,0,93.7,157.3,64.4,50.8,1918,4,92,2.97,3.23,9.4,68,5500,37,41,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.035453597497393116
2,161.0,0,0,0,0,93.7,157.3,64.4,50.8,1944,4,92,2.97,3.23,9.4,68,5500,31,38,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03497942386831276
2,161.0,0,0,0,0,93.7,157.3,64.4,50.8,2004,4,92,2.97,3.23,9.4,68,5500,31,38,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.033932135728542916
1,161.0,0,1,0,0,93.0,157.3,63.8,50.8,2145,4,98,3.03,3.39,7.6,102,5500,24,30,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,0.04755244755244755
3,153.0,0,1,0,0,96.3,173.0,65.4,49.4,2370,4,110,3.17,3.46,7.5,116,5500,23,30,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,0.048945147679324896
3,153.0,0,0,0,0,96.3,173.0,65.4,49.4,2328,4,122,3.35,3.46,8.5,88,5000,25,32,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.037800687285223365
3,115.0,0,1,0,0,95.9,173.2,66.3,50.2,2833,4,156,3.58,3.86,7.0,145,5000,19,24,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,0.05118249205788916
3,115.0,0,1,0,0,95.9,173.2,66.3,50.2,2921,4,156,3.59,3.86,7.0,145,5000,19,24,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,0.04964053406367682
3,115.0,0,1,0,0,95.9,173.2,66.3,50.2,2926,4,156,3.59,3.86,7.0,145,5000,19,24,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,0.04955570745044429
1,125.0,0,0,1,0,96.3,172.4,65.4,51.6,2365,4,122,3.35,3.46,8.5,88,5000,25,32,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.037209302325581395
1,125.0,0,0,1,0,96.3,172.4,65.4,51.6,2405,4,122,3.35,3.46,8.5,88,5000,25,32,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03659043659043659
1,125.0,0,1,1,0,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,116,5500,23,30,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,0.04827299209321681
-1,137.0,0,0,1,0,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,116,5500,23,30,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,0.04827299209321681
1,128.0,0,0,0,0,94.5,165.3,63.8,54.5,1889,4,97,3.15,3.29,9.4,69,5200,31,37,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.036527263102170464
1,128.0,1,0,0,0,94.5,165.3,63.8,54.5,2017,4,103,2.99,3.47,21.9,55,4800,45,50,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,0.027268220128904314
1,128.0,0,0,0,0,94.5,165.3,63.8,54.5,1918,4,97,3.15,3.29,9.4,69,5200,31,37,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03597497393117831
1,122.0,0,0,1,0,94.5,165.3,63.8,54.5,1938,4,97,3.15,3.29,9.4,69,5200,31,37,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03560371517027864
1,103.0,0,0,1,0,94.5,170.2,63.8,53.5,2024,4,97,3.15,3.29,9.4,69,5200,31,37,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03409090909090909
